Year,Month,Day,Return_t,Return_day_before
2013,9,2,0.99161777,0.99017329
2013,9,3,0.99168745,0.99161777
2013,9,4,1.0045929,0.99168745
2013,9,5,1.00261643,1.0045929
2013,9,6,0.99874569,1.00261643
2013,9,9,0.9929424,0.99874569
2013,9,10,1.00124701,0.9929424
2013,9,11,1.00574833,1.00124701
2013,9,12,1.00020907,1.00574833
2013,9,13,0.99469689,1.00020907
2013,9,16,0.99875376,0.99469689
2013,9,17,0.98992495,0.99875376
2013,9,18,1.00444031,0.98992495
2013,9,19,1.00082679,1.00444031
2013,9,20,0.99793729,1.00082679
2013,9,23,1.00268873,0.99793729
2013,9,24,1.00124249,1.00268873
2013,9,25,1.00062163,1.00124249
2013,9,26,1.00583576,1.00062163
2013,9,27,0.99947922,1.00583576
2013,9,30,0.98999794,0.99947922
2013,10,1,1,0.98999794
2013,10,2,0.9993817,1
2013,10,3,0.99958797,0.9993817
2013,10,4,0.99876543,0.99958797
2013,10,7,0.995086,0.99876543
2013,10,8,0.99531282,0.995086
2013,10,9,0.99888041,0.99531282
2013,10,10,1.00326764,0.99888041
2013,10,11,0.99714897,1.00326764
2013,10,14,0.99322411,0.99714897
2013,10,15,1.00283976,0.99322411
2013,10,16,0.99475383,1.00283976
2013,10,17,0.9961809,0.99475383
2013,10,18,1.00060338,0.9961809
2013,10,21,0.99619315,1.00060338
2013,10,22,0.99909919,0.99619315
2013,10,23,0.99650908,0.99909919
2013,10,24,1.00179856,0.99650908
2013,10,25,1.00130065,1.00179856
2013,10,28,1.00766206,1.00130065
2013,10,29,0.99889225,1.00766206
2013,10,30,1.00618097,0.99889225
2013,10,31,1.00386532,1.00618097
2013,11,1,0.99192816,1.00386532
2013,11,4,0.99738352,0.99192816
2013,11,5,1.00151179,0.99738352
2013,11,6,1.00333704,1.00151179
2013,11,7,1.00589971,1.00333704
2013,11,8,1.00316327,1.00589971
2013,11,11,1.00420125,1.00316327
2013,11,12,0.99764874,1.00420125
2013,11,13,1.00369382,0.99764874
2013,11,14,0.99713526,1.00369382
2013,11,15,0.99979542,0.99713526
2013,11,18,0.99017523,0.99979542
2013,11,19,1.01230391,0.99017523
2013,11,20,1.00453188,1.01230391
2013,11,21,1.00768033,1.00453188
2013,11,22,0.99782519,1.00768033
2013,11,25,1.00395093,0.99782519
2013,11,26,1.00020799,1.00395093
2013,11,27,0.99906494,1.00020799
2013,11,28,0.99606747,0.99906494
